Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
PIK3CG	7q22.3	26 (12.04%)	2 (1.32%)	3.18	4.330e-5	0.0220	Co-occurrence<Significant>	
EYA1	8q13.3	26 (12.04%)	2 (1.32%)	3.18	4.330e-5	0.0220	Co-occurrence<Significant>	
LRTM1	3p14.3	29 (13.43%)	3 (1.99%)	2.76	4.557e-5	0.0220	Co-occurrence<Significant>	
CR2	1q32.2	29 (13.43%)	3 (1.99%)	2.76	4.557e-5	0.0220	Co-occurrence<Significant>	
EPHB1	3q22.2	29 (13.43%)	3 (1.99%)	2.76	4.557e-5	0.0220	Co-occurrence<Significant>	
PCDH18	4q28.3	53 (24.54%)	13 (8.61%)	1.51	4.783e-5	0.0224	Co-occurrence<Significant>	
CHRNB3	8p11.21	18 (8.33%)	0 (0.00%)	>10	5.295e-5	0.0236	Co-occurrence<Significant>	
IGSF10	3q25.1	44 (20.37%)	9 (5.96%)	1.77	5.305e-5	0.0236	Co-occurrence<Significant>	
NELL2	12q12	22 (10.19%)	1 (0.66%)	3.94	5.754e-5	0.0249	Co-occurrence<Significant>	
PTPRZ1	7q31.32	25 (11.57%)	2 (1.32%)	3.13	7.186e-5	0.0290	Co-occurrence<Significant>	
C1ORF106	1q32.1	25 (11.57%)	2 (1.32%)	3.13	7.186e-5	0.0290	Co-occurrence<Significant>	
SLC4A1	17q21.31	25 (11.57%)	2 (1.32%)	3.13	7.186e-5	0.0290	Co-occurrence<Significant>	
OGDHL	10q11.23	36 (16.67%)	6 (3.97%)	2.07	7.650e-5	0.0295	Co-occurrence<Significant>	
TECTA	11q23.3	36 (16.67%)	6 (3.97%)	2.07	7.650e-5	0.0295	Co-occurrence<Significant>	
PCDH15	10q21.1	71 (32.87%)	23 (15.23%)	1.11	8.382e-5	0.0302	Co-occurrence<Significant>	
NOTCH4	6p21.32	45 (20.83%)	10 (6.62%)	1.65	8.934e-5	0.0302	Co-occurrence<Significant>	
NBEAL2	3p21.31	17 (7.87%)	0 (0.00%)	>10	9.313e-5	0.0302	Co-occurrence<Significant>	
TDRD9	14q32.33	17 (7.87%)	0 (0.00%)	>10	9.313e-5	0.0302	Co-occurrence<Significant>	
RIMS2	8q22.3	38 (17.59%)	7 (4.64%)	1.92	9.316e-5	0.0302	Co-occurrence<Significant>	
STAB1	3p21.1	38 (17.59%)	7 (4.64%)	1.92	9.316e-5	0.0302	Co-occurrence<Significant>	
SLC35F3	1q42.2	21 (9.72%)	1 (0.66%)	3.88	9.764e-5	0.0302	Co-occurrence<Significant>	
GLYATL1	11q12.1	21 (9.72%)	1 (0.66%)	3.88	9.764e-5	0.0302	Co-occurrence<Significant>	
CYFIP2	5q33.3	21 (9.72%)	1 (0.66%)	3.88	9.764e-5	0.0302	Co-occurrence<Significant>	
MAGEB6	Xp21.3	21 (9.72%)	1 (0.66%)	3.88	9.764e-5	0.0302	Co-occurrence<Significant>	
MUC16	19p13.2	164 (75.93%)	86 (56.95%)	0.41	1.031e-4	0.0302	Co-occurrence<Significant>	
DPYD	1p21.3	51 (23.61%)	13 (8.61%)	1.46	1.058e-4	0.0302	Co-occurrence<Significant>	
COL6A6	3q22.1	40 (18.52%)	8 (5.30%)	1.81	1.087e-4	0.0302	Co-occurrence<Significant>	
SORCS3	10q25.1	40 (18.52%)	8 (5.30%)	1.81	1.087e-4	0.0302	Co-occurrence<Significant>	
OBSCN	1q42.13	57 (26.39%)	16 (10.60%)	1.32	1.091e-4	0.0302	Co-occurrence<Significant>	
SVEP1	9q31.3	57 (26.39%)	16 (10.60%)	1.32	1.091e-4	0.0302	Co-occurrence<Significant>	
CHD5	1p36.31	30 (13.89%)	4 (2.65%)	2.39	1.097e-4	0.0302	Co-occurrence<Significant>	
PSG9	19q13.31	30 (13.89%)	4 (2.65%)	2.39	1.097e-4	0.0302	Co-occurrence<Significant>	
HSPG2	1p36.12	27 (12.50%)	3 (1.99%)	2.65	1.201e-4	0.0326	Co-occurrence<Significant>	
DNAH5	5p15.2	123 (56.94%)	56 (37.09%)	0.62	1.297e-4	0.0345	Co-occurrence<Significant>	
CASR	3q13.33-q21.1	44 (20.37%)	10 (6.62%)	1.62	1.342e-4	0.0345	Co-occurrence<Significant>	
COL4A4	2q36.3	64 (29.63%)	20 (13.25%)	1.16	1.414e-4	0.0345	Co-occurrence<Significant>	
C8A	1p32.2	32 (14.81%)	5 (3.31%)	2.16	1.471e-4	0.0345	Co-occurrence<Significant>	
CUX2	12q24.11-q24.12	32 (14.81%)	5 (3.31%)	2.16	1.471e-4	0.0345	Co-occurrence<Significant>	
POM121L12	7p12.1	32 (14.81%)	5 (3.31%)	2.16	1.471e-4	0.0345	Co-occurrence<Significant>	
DSC1	18q12.1	48 (22.22%)	12 (7.95%)	1.48	1.510e-4	0.0345	Co-occurrence<Significant>	
CRB1	1q31.3	52 (24.07%)	14 (9.27%)	1.38	1.588e-4	0.0345	Co-occurrence<Significant>	
CACNB2	10p12.33-p12.31	16 (7.41%)	0 (0.00%)	>10	1.635e-4	0.0345	Co-occurrence<Significant>	
BMP10	2p13.3	16 (7.41%)	0 (0.00%)	>10	1.635e-4	0.0345	Co-occurrence<Significant>	
FAM47B	Xp21.1	16 (7.41%)	0 (0.00%)	>10	1.635e-4	0.0345	Co-occurrence<Significant>	
GP2	16p12.3	16 (7.41%)	0 (0.00%)	>10	1.635e-4	0.0345	Co-occurrence<Significant>	
OR5H6	3q11.2	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
ACOXL	2q13	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
ARHGAP25	2p13.3	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
FPR1	19q13.41	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
SLC6A1	3p25.3	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
TEX14	17q22	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
TIAM1	21q22.11	20 (9.26%)	1 (0.66%)	3.81	1.650e-4	0.0345	Co-occurrence<Significant>	
SYT10	12p11.1	29 (13.43%)	4 (2.65%)	2.34	1.741e-4	0.0359	Co-occurrence<Significant>	
DNAH3	16p12.3	76 (35.19%)	27 (17.88%)	0.98	1.785e-4	0.0364	Co-occurrence<Significant>	
PHKA1	Xq13.1	26 (12.04%)	3 (1.99%)	2.60	1.935e-4	0.0380	Co-occurrence<Significant>	
GRIK3	1p34.3	26 (12.04%)	3 (1.99%)	2.60	1.935e-4	0.0380	Co-occurrence<Significant>	
SLC30A8	8q24.11	23 (10.65%)	2 (1.32%)	3.01	1.951e-4	0.0380	Co-occurrence<Significant>	
SIGLEC12	19q13.41	23 (10.65%)	2 (1.32%)	3.01	1.951e-4	0.0380	Co-occurrence<Significant>	
PAPPA	9q33.1	43 (19.91%)	10 (6.62%)	1.59	2.004e-4	0.0385	Co-occurrence<Significant>	
SPTA1	1q23.1	63 (29.17%)	20 (13.25%)	1.14	2.022e-4	0.0385	Co-occurrence<Significant>	
CACNA1C	12p13.33	45 (20.83%)	11 (7.28%)	1.52	2.130e-4	0.0402	Co-occurrence<Significant>	
GPR158	10p12.1	36 (16.67%)	7 (4.64%)	1.85	2.185e-4	0.0402	Co-occurrence<Significant>	
ADAM28	8p21.2	36 (16.67%)	7 (4.64%)	1.85	2.185e-4	0.0402	Co-occurrence<Significant>	
LRP1B	2q22.1-q22.2	97 (44.91%)	40 (26.49%)	0.76	2.224e-4	0.0402	Co-occurrence<Significant>	
KIAA1549	7q34	31 (14.35%)	5 (3.31%)	2.12	2.294e-4	0.0402	Co-occurrence<Significant>	
OR51S1	11p15.4	31 (14.35%)	5 (3.31%)	2.12	2.294e-4	0.0402	Co-occurrence<Significant>	
UGT2B28	4q13.2	31 (14.35%)	5 (3.31%)	2.12	2.294e-4	0.0402	Co-occurrence<Significant>	
FCGBP	19q13.2	55 (25.46%)	16 (10.60%)	1.26	2.294e-4	0.0402	Co-occurrence<Significant>	
SYNE1	6q25.2	66 (30.56%)	22 (14.57%)	1.07	2.577e-4	0.0437	Co-occurrence<Significant>	
MYH1	17p13.1	64 (29.63%)	21 (13.91%)	1.09	2.729e-4	0.0437	Co-occurrence<Significant>	
LRRIQ1	12q21.31	28 (12.96%)	4 (2.65%)	2.29	2.745e-4	0.0437	Co-occurrence<Significant>	
MACF1	1p34.3	40 (18.52%)	9 (5.96%)	1.64	2.757e-4	0.0437	Co-occurrence<Significant>	
EPHA10	1p34.3	19 (8.80%)	1 (0.66%)	3.73	2.777e-4	0.0437	Co-occurrence<Significant>	
CECR2	22q11.1-q11.21	19 (8.80%)	1 (0.66%)	3.73	2.777e-4	0.0437	Co-occurrence<Significant>	
CDH26	20q13.33	19 (8.80%)	1 (0.66%)	3.73	2.777e-4	0.0437	Co-occurrence<Significant>	
CLCN1	7q34	33 (15.28%)	6 (3.97%)	1.94	2.826e-4	0.0437	Co-occurrence<Significant>	
EGFLAM	5p13.2-p13.1	33 (15.28%)	6 (3.97%)	1.94	2.826e-4	0.0437	Co-occurrence<Significant>	
SRCAP	16p11.2	33 (15.28%)	6 (3.97%)	1.94	2.826e-4	0.0437	Co-occurrence<Significant>	
MYF6	12q21.31	15 (6.94%)	0 (0.00%)	>10	2.862e-4	0.0437	Co-occurrence<Significant>	
ERN1	17q23.3	15 (6.94%)	0 (0.00%)	>10	2.862e-4	0.0437	Co-occurrence<Significant>	
IRAK2	3p25.3	15 (6.94%)	0 (0.00%)	>10	2.862e-4	0.0437	Co-occurrence<Significant>	
JARID2	6p22.3	15 (6.94%)	0 (0.00%)	>10	2.862e-4	0.0437	Co-occurrence<Significant>	
FLG2	1q21.3	62 (28.70%)	20 (13.25%)	1.12	2.873e-4	0.0437	Co-occurrence<Significant>	
ACAN	15q26.1	42 (19.44%)	10 (6.62%)	1.55	2.973e-4	0.0448	Co-occurrence<Significant>	
MUC7	4q13.3	25 (11.57%)	3 (1.99%)	2.54	3.099e-4	0.0448	Co-occurrence<Significant>	
CD1C	1q23.1	25 (11.57%)	3 (1.99%)	2.54	3.099e-4	0.0448	Co-occurrence<Significant>	
PRDM16	1p36.32	25 (11.57%)	3 (1.99%)	2.54	3.099e-4	0.0448	Co-occurrence<Significant>	
VPS13A	9q21.2	25 (11.57%)	3 (1.99%)	2.54	3.099e-4	0.0448	Co-occurrence<Significant>	
GLYATL2	11q12.1	25 (11.57%)	3 (1.99%)	2.54	3.099e-4	0.0448	Co-occurrence<Significant>	
LPA	6q25.3-q26	44 (20.37%)	11 (7.28%)	1.48	3.137e-4	0.0450	Co-occurrence<Significant>	
ATP6V0A4	7q34	22 (10.19%)	2 (1.32%)	2.94	3.190e-4	0.0450	Co-occurrence<Significant>	
RGS6	14q24.2	22 (10.19%)	2 (1.32%)	2.94	3.190e-4	0.0450	Co-occurrence<Significant>	
CFTR	7q31.2	46 (21.30%)	12 (7.95%)	1.42	3.253e-4	0.0455	Co-occurrence<Significant>	
RP1L1	8p23.1	54 (25.00%)	16 (10.60%)	1.24	3.294e-4	0.0457	Co-occurrence<Significant>	
COL4A5	Xq22.3	50 (23.15%)	14 (9.27%)	1.32	3.350e-4	0.0461	Co-occurrence<Significant>	
ZIM3	19q13.43	30 (13.89%)	5 (3.31%)	2.07	3.554e-4	0.0485	Co-occurrence<Significant>	
HECW2	2q32.3	37 (17.13%)	8 (5.30%)	1.69	3.741e-4	0.0499	Co-occurrence<Significant>	
PTPRK	6q22.33	37 (17.13%)	8 (5.30%)	1.69	3.741e-4	0.0499	Co-occurrence<Significant>	
FBN3	19p13.2	37 (17.13%)	8 (5.30%)	1.69	3.741e-4	0.0499	Co-occurrence<Significant>	
SACS	13q12.12	39 (18.06%)	9 (5.96%)	1.60	4.098e-4	0.0540	Co-occurrence	
MYH2	17p13.1	70 (32.41%)	25 (16.56%)	0.97	4.109e-4	0.0540	Co-occurrence	
MYH6	14q11.2	32 (14.81%)	6 (3.97%)	1.90	4.315e-4	0.0546	Co-occurrence	
ITPR1	3p26.1	32 (14.81%)	6 (3.97%)	1.90	4.315e-4	0.0546	Co-occurrence	
CACNA1S	1q32.1	41 (18.98%)	10 (6.62%)	1.52	4.381e-4	0.0546	Co-occurrence	
OR5D13	11q11	18 (8.33%)	1 (0.66%)	3.65	4.654e-4	0.0546	Co-occurrence	
RTTN	18q22.2	18 (8.33%)	1 (0.66%)	3.65	4.654e-4	0.0546	Co-occurrence	
MMP26	11p15.4	18 (8.33%)	1 (0.66%)	3.65	4.654e-4	0.0546	Co-occurrence	
SPHKAP	2q36.3	66 (30.56%)	23 (15.23%)	1.00	4.750e-4	0.0546	Co-occurrence	
SCN11A	3p22.2	66 (30.56%)	23 (15.23%)	1.00	4.750e-4	0.0546	Co-occurrence	
TMEM132B	12q24.31-q24.32	51 (23.61%)	15 (9.93%)	1.25	4.781e-4	0.0546	Co-occurrence	
DNAH2	17p13.1	51 (23.61%)	15 (9.93%)	1.25	4.781e-4	0.0546	Co-occurrence	
ERBB4	2q34	47 (21.76%)	13 (8.61%)	1.34	4.803e-4	0.0546	Co-occurrence	
COL5A1	9q34.3	49 (22.69%)	14 (9.27%)	1.29	4.818e-4	0.0546	Co-occurrence	
ACACB	12q24.11	24 (11.11%)	3 (1.99%)	2.48	4.934e-4	0.0546	Co-occurrence	
IL1RL1	2q12.1	24 (11.11%)	3 (1.99%)	2.48	4.934e-4	0.0546	Co-occurrence	
ACSM2A	16p12.3	24 (11.11%)	3 (1.99%)	2.48	4.934e-4	0.0546	Co-occurrence	
PRKCB	16p12.2-p12.1	24 (11.11%)	3 (1.99%)	2.48	4.934e-4	0.0546	Co-occurrence	
CAMTA1	1p36.31-p36.23	24 (11.11%)	3 (1.99%)	2.48	4.934e-4	0.0546	Co-occurrence	
GRIK2	6q16.3	24 (11.11%)	3 (1.99%)	2.48	4.934e-4	0.0546	Co-occurrence	
NUP210L	1q21.3	34 (15.74%)	7 (4.64%)	1.76	4.995e-4	0.0546	Co-occurrence	
ARAP2	4p14	34 (15.74%)	7 (4.64%)	1.76	4.995e-4	0.0546	Co-occurrence	
PCDHB7	5q31.3	34 (15.74%)	7 (4.64%)	1.76	4.995e-4	0.0546	Co-occurrence	
OR1L1	9q33.2	14 (6.48%)	0 (0.00%)	>10	5.002e-4	0.0546	Co-occurrence	
YTHDF1	20q13.33	14 (6.48%)	0 (0.00%)	>10	5.002e-4	0.0546	Co-occurrence	
NOX1	Xq22.1	14 (6.48%)	0 (0.00%)	>10	5.002e-4	0.0546	Co-occurrence	
ACMSD	2q21.3	14 (6.48%)	0 (0.00%)	>10	5.002e-4	0.0546	Co-occurrence	
FKBP5	6p21.31	14 (6.48%)	0 (0.00%)	>10	5.002e-4	0.0546	Co-occurrence	
PEX5L	3q26.33	14 (6.48%)	0 (0.00%)	>10	5.002e-4	0.0546	Co-occurrence	
C2	6p21.33	21 (9.72%)	2 (1.32%)	2.88	5.187e-4	0.0555	Co-occurrence	
SLC1A6	19p13.12	21 (9.72%)	2 (1.32%)	2.88	5.187e-4	0.0555	Co-occurrence	
GALNTL6	4q34.1	21 (9.72%)	2 (1.32%)	2.88	5.187e-4	0.0555	Co-occurrence	
ABCC6	16p13.11	29 (13.43%)	5 (3.31%)	2.02	5.473e-4	0.0582	Co-occurrence	
RUNX1T1	8q21.3	36 (16.67%)	8 (5.30%)	1.65	5.577e-4	0.0590	Co-occurrence	
CSMD3	8q23.3	81 (37.50%)	32 (21.19%)	0.82	5.684e-4	0.0597	Co-occurrence	
PCDHB8	5q31.3	38 (17.59%)	9 (5.96%)	1.56	6.050e-4	0.0632	Co-occurrence	
MXRA5	Xp22.33	74 (34.26%)	28 (18.54%)	0.89	6.102e-4	0.0634	Co-occurrence	
PAPPA2	1q25.2	67 (31.02%)	24 (15.89%)	0.96	6.141e-4	0.0634	Co-occurrence	
UGT3A1	5p13.2	31 (14.35%)	6 (3.97%)	1.85	6.544e-4	0.0661	Co-occurrence	
TRPV5	7q34	31 (14.35%)	6 (3.97%)	1.85	6.544e-4	0.0661	Co-occurrence	
ZNF804A	2q32.1	52 (24.07%)	16 (10.60%)	1.18	6.662e-4	0.0661	Co-occurrence	
BCLAF1	6q23.3	42 (19.44%)	11 (7.28%)	1.42	6.671e-4	0.0661	Co-occurrence	
MAGI1	3p14.1	26 (12.04%)	4 (2.65%)	2.18	6.703e-4	0.0661	Co-occurrence	
DOPEY2	21q22.12	26 (12.04%)	4 (2.65%)	2.18	6.703e-4	0.0661	Co-occurrence	
ADAMTSL1	9p22.2-p22.1	26 (12.04%)	4 (2.65%)	2.18	6.703e-4	0.0661	Co-occurrence	
SLCO1B7	12p12.2	26 (12.04%)	4 (2.65%)	2.18	6.703e-4	0.0661	Co-occurrence	
EPHA6	3q11.2	48 (22.22%)	14 (9.27%)	1.26	6.885e-4	0.0671	Co-occurrence	
NLRP8	19q13.43	48 (22.22%)	14 (9.27%)	1.26	6.885e-4	0.0671	Co-occurrence	
VNN2	6q23.2	17 (7.87%)	1 (0.66%)	3.57	7.762e-4	0.0705	Co-occurrence	
OR6C2	12q13.2	17 (7.87%)	1 (0.66%)	3.57	7.762e-4	0.0705	Co-occurrence	
ADAM33	20p13	17 (7.87%)	1 (0.66%)	3.57	7.762e-4	0.0705	Co-occurrence	
AGRN	1p36.33	17 (7.87%)	1 (0.66%)	3.57	7.762e-4	0.0705	Co-occurrence	
KRT83	12q13.13	17 (7.87%)	1 (0.66%)	3.57	7.762e-4	0.0705	Co-occurrence	
MME	3q25.2	23 (10.65%)	3 (1.99%)	2.42	7.807e-4	0.0705	Co-occurrence	
ANPEP	15q26.1	23 (10.65%)	3 (1.99%)	2.42	7.807e-4	0.0705	Co-occurrence	
CNTN1	12q12	23 (10.65%)	3 (1.99%)	2.42	7.807e-4	0.0705	Co-occurrence	
CREBBP	16p13.3	23 (10.65%)	3 (1.99%)	2.42	7.807e-4	0.0705	Co-occurrence	
PRKCQ	10p15.1	23 (10.65%)	3 (1.99%)	2.42	7.807e-4	0.0705	Co-occurrence	
SZT2	1p34.2	23 (10.65%)	3 (1.99%)	2.42	7.807e-4	0.0705	Co-occurrence	
MYT1L	2p25.3	35 (16.20%)	8 (5.30%)	1.61	8.256e-4	0.0705	Co-occurrence	
SCN3A	2q24.3	35 (16.20%)	8 (5.30%)	1.61	8.256e-4	0.0705	Co-occurrence	
ITGA8	10p13	28 (12.96%)	5 (3.31%)	1.97	8.371e-4	0.0705	Co-occurrence	
KIF2B	17q22	28 (12.96%)	5 (3.31%)	1.97	8.371e-4	0.0705	Co-occurrence	
YLPM1	14q24.3	28 (12.96%)	5 (3.31%)	1.97	8.371e-4	0.0705	Co-occurrence	
AXDND1	1q25.2	28 (12.96%)	5 (3.31%)	1.97	8.371e-4	0.0705	Co-occurrence	
PDHA2	4q22.3	20 (9.26%)	2 (1.32%)	2.81	8.388e-4	0.0705	Co-occurrence	
LVRN	5q23.1	20 (9.26%)	2 (1.32%)	2.81	8.388e-4	0.0705	Co-occurrence	
TAS2R38	7q34	20 (9.26%)	2 (1.32%)	2.81	8.388e-4	0.0705	Co-occurrence	
CFAP53	18q21.1	20 (9.26%)	2 (1.32%)	2.81	8.388e-4	0.0705	Co-occurrence	
DIP2B	12q13.12	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
FASLG	1q24.3	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
ART3	4q21.1|4p15.1-p14	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
OR4K17	14q11.2	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
EFCAB13	17q21.32	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
FETUB	3q27.3	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
ICK	6p12.1	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
NINL	20p11.21	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
LPIN1	2p25.1	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
UBE4B	1p36.22	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
TEX11	Xq13.1	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
VAV3	1p13.3	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
LILRA4	19q13.42	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
IGHG2	14q32.33	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
SERPINB12	18q21.33	13 (6.02%)	0 (0.00%)	>10	8.723e-4	0.0705	Co-occurrence	
MAGEC1	Xq27.2	55 (25.46%)	18 (11.92%)	1.09	8.734e-4	0.0705	Co-occurrence	
NCKAP5	2q21.2	37 (17.13%)	9 (5.96%)	1.52	8.871e-4	0.0706	Co-occurrence	
FAM47A	Xp21.1	37 (17.13%)	9 (5.96%)	1.52	8.871e-4	0.0706	Co-occurrence	
CATSPERB	14q32.12	37 (17.13%)	9 (5.96%)	1.52	8.871e-4	0.0706	Co-occurrence	
STAB2	12q23.3	51 (23.61%)	16 (10.60%)	1.16	9.381e-4	0.0743	Co-occurrence	
DNAH8	6p21.2	76 (35.19%)	30 (19.87%)	0.82	9.435e-4	0.0744	Co-occurrence	
PLXNA4	7q32.3	41 (18.98%)	11 (7.28%)	1.38	9.630e-4	0.0750	Co-occurrence	
SCN2A	2q24.3	41 (18.98%)	11 (7.28%)	1.38	9.630e-4	0.0750	Co-occurrence	
FER1L6	8q24.13	47 (21.76%)	14 (9.27%)	1.23	9.773e-4	0.0750	Co-occurrence	
FRAS1	4q21.21	47 (21.76%)	14 (9.27%)	1.23	9.773e-4	0.0750	Co-occurrence	
CNTN4	3p26.3-p26.2	43 (19.91%)	12 (7.95%)	1.32	9.796e-4	0.0750	Co-occurrence	
SHANK2	11q13.3-q13.4	30 (13.89%)	6 (3.97%)	1.81	9.858e-4	0.0750	Co-occurrence	
SPEN	1p36.21-p36.13	30 (13.89%)	6 (3.97%)	1.81	9.858e-4	0.0750	Co-occurrence	
EXPH5	11q22.3	30 (13.89%)	6 (3.97%)	1.81	9.858e-4	0.0750	Co-occurrence	
SPOCD1	1p35.2	25 (11.57%)	4 (2.65%)	2.13	1.037e-3	0.0775	Co-occurrence	
ANKHD1	5q31.3	25 (11.57%)	4 (2.65%)	2.13	1.037e-3	0.0775	Co-occurrence	
KCNH1	1q32.2	25 (11.57%)	4 (2.65%)	2.13	1.037e-3	0.0775	Co-occurrence	
CEMIP	15q25.1	25 (11.57%)	4 (2.65%)	2.13	1.037e-3	0.0775	Co-occurrence	
NYAP2	2q36.3	32 (14.81%)	7 (4.64%)	1.68	1.112e-3	0.0824	Co-occurrence	
AKAP9	7q21.2	32 (14.81%)	7 (4.64%)	1.68	1.112e-3	0.0824	Co-occurrence	
CNTNAP2	7q35-q36.1	56 (25.93%)	19 (12.58%)	1.04	1.158e-3	0.0826	Co-occurrence	
FAT4	4q28.1	77 (35.65%)	31 (20.53%)	0.80	1.158e-3	0.0826	Co-occurrence	
RELN	7q22.1	54 (25.00%)	18 (11.92%)	1.07	1.214e-3	0.0826	Co-occurrence	
AOC1	7q36.1	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
MDGA1	6p21.2	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
