Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
SKIV2L	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SLC44A4	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SNORA38	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SNORD117	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SNORD48	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SNORD52	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SNORD84	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
STK19	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
TAP1	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
TAP2	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PRR3	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PRRC2A	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PRRT1	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PSMB8	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
RNA5SP206	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
RNF5	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
ABCF1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
ABHD16A	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
AGER	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
AGPAT1	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
AIF1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
APOM	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
ATF6B	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
ATP6V1G2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
BAG6	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
BTNL2	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
C2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
C4A	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
C4B	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
C6ORF10	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MPIG6B	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
C6ORF47	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
C6ORF48	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
CFB	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
CLIC1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
CSNK2B	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
CYP21A1P	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
CYP21A2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
DDAH2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
DDX39B	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
DPCR1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
DXO	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
EGFL8	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
EHMT2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LSM2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LST1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LTA	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LTB	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LY6G5B	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LY6G5C	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LY6G6C	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LY6G6D	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LY6G6E	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
LY6G6F	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MCCD1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MICA	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MICB	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MIR1236	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MIR3135B	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MIR4640	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MIR4646	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MIR877	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MSH5	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
MUC21	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
NCR3	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
NELFE	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
NEU1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
NFKBIL1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
NOTCH4	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PBX2	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PPP1R2P1	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
PPT2	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
OR5V1	6p22.1	20 (9.30%)	1 (0.66%)	3.82	1.506e-4	0.0208	Co-occurrence<Significant>	
TRIM39	6p22.1	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
HCG17	6p22.1	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
HCG18	6p22.1	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
HCG22	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
HCG27	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
TANC2	17q23.2-q23.3	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
TCF19	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
PSORS1C1	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
PSORS1C2	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
PSORS1C3	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
RPP21	6p22.1	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
BCAS3	17q23.2	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
C6ORF15	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
CCHCR1	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
CDSN	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
MUC22	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
POU5F1	6p21.33	16 (7.44%)	0 (0.00%)	>10	1.513e-4	0.0208	Co-occurrence<Significant>	
ZNF311	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
HCG15	6p21	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
HCG16	6p21.3	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
RN7SL471P	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
LINC01556	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR12D2	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR12D3	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR14J1	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR2B3	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR2J1	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR2J2	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR2J3	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
OR2W1	6p22.1	19 (8.84%)	1 (0.66%)	3.75	2.548e-4	0.0208	Co-occurrence<Significant>	
TUBD1	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
USP32	17q23.1-q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
VEZF1	17q22	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
VMP1	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
XPO5	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
YIPF3	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
FTSJ3	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
GH1	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
GH2	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
GNA13	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
GRM4	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
HEATR6	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
HMGA1	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
INTS2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
KCNH6	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
KCTD20	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SCARNA15	15q25.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SCN4A	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SLC16A6P1	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SLC26A8	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SMARCD2	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SMURF2	17q23.3-q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SNORD104	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SRSF1	17q22	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
STK38	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
STRADA	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TACO1	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TBC1D3P2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TBX2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TBX4	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TCAM1P	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TEX2	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TJAP1	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TLK2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TMEM63B	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PRR29	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PSMC5	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PXT1	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RGS9	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RN7SL448P	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RN7SL502P	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RN7SL606P	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RN7SL735P	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RN7SL748P	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RN7SL800P	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RNA5SP444	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RNA5SP445	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RNA5SP446	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RNFT1	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RPL12P38	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
RPS6KB1	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
ABCC10	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
ACE	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
AMZ2P1	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
APOH	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
APPBP2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
AXIN2	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
BRIP1	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
BRPF3	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
C17ORF64	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
C17ORF82	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
SMIM29	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
C6ORF222	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CA4	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CACNG1	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CACNG4	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CACNG5	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CAPN11	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CCDC47	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CD79B	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CEP112	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CEP95	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CSH1	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CSH2	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CSHL1	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CUEDC1	17q22	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
CYB561	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
DCAF7	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
DDX42	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
DDX5	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
DLK2	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
EFCAB3	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
ERN1	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
ETV7	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
LIMD2	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
LRRC73	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MAP3K3	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MAPK13	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MAPK14	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MARCH10	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MED13	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
METTL2A	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MILR1	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MIR21	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MIR3064	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MIR4737	17q23.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
